Id;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;Condition1;Condition2;BldgType;HouseStyle;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;MasVnrType;MasVnrArea;ExterQual;ExterCond;Foundation;BsmtQual;BsmtCond;BsmtExposure;BsmtFinType1;BsmtFinSF1;BsmtFinType2;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;Heating;HeatingQC;CentralAir;Electrical;1stFlrSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;KitchenQual;TotRmsAbvGrd;Functional;Fireplaces;FireplaceQu;GarageType;GarageYrBlt;GarageFinish;GarageCars;GarageArea;GarageQual;GarageCond;PavedDrive;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;PoolQC;Fence;MiscFeature;MiscVal;MoSold;YrSold;SaleType;SaleCondition;SalePrice
448;60;RL;NA;11214;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Gilbert;Norm;Norm;1Fam;2Story;7;5;1998;1999;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;930;930;GasA;Gd;Y;SBrkr;956;930;0;1886;0;0;2;1;4;1;Gd;10;Typ;1;TA;Attchd;1998;Fin;2;431;TA;TA;Y;89;0;0;0;0;0;NA;NA;NA;0;7;2006;WD;Normal;199900
449;50;RM;50;8600;Pave;NA;Reg;Bnk;AllPub;Inside;Gtl;IDOTRR;Norm;Norm;1Fam;1.5Fin;6;6;1937;1950;Gable;CompShg;MetalSd;MetalSd;None;0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;780;780;GasA;TA;Y;SBrkr;780;596;0;1376;0;0;2;0;3;1;TA;7;Typ;1;Gd;Detchd;1937;Unf;1;198;TA;TA;N;0;0;0;0;0;0;NA;NA;NA;0;6;2006;WD;Normal;119500
450;50;RM;50;6000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Norm;Norm;1Fam;1.5Fin;3;7;1948;2002;Gable;CompShg;MetalSd;MetalSd;None;0;TA;Gd;CBlock;TA;TA;No;ALQ;331;Unf;0;318;649;GasA;Ex;Y;SBrkr;679;504;0;1183;0;0;1;1;2;1;TA;6;Typ;0;NA;Detchd;1981;Unf;1;308;TA;TA;Y;0;176;0;0;0;0;NA;NA;NA;0;6;2007;WD;Normal;120000
451;30;RM;70;5684;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Norm;Norm;1Fam;1Story;6;8;1930;2005;Hip;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;813;813;GasA;Ex;Y;FuseA;813;0;0;813;0;0;1;0;2;1;Gd;5;Typ;0;NA;Detchd;1932;Unf;1;270;Fa;Fa;N;0;113;0;0;0;0;NA;NA;NA;0;6;2006;WD;Normal;110000
452;20;RL;62;70761;Pave;NA;IR1;Low;AllPub;Inside;Mod;ClearCr;Norm;Norm;1Fam;1Story;7;5;1975;1975;Gable;WdShngl;Plywood;Plywood;None;0;TA;TA;CBlock;Gd;TA;Gd;ALQ;655;Unf;0;878;1533;GasA;TA;Y;SBrkr;1533;0;0;1533;1;0;2;0;2;1;Gd;5;Typ;2;TA;Attchd;1975;Unf;2;576;TA;TA;Y;200;54;0;0;0;0;NA;NA;NA;0;12;2006;WD;Normal;280000
453;60;RL;NA;9303;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Timber;Norm;Norm;1Fam;2Story;6;5;1996;1997;Hip;CompShg;VinylSd;VinylSd;BrkFace;42;Gd;TA;PConc;Ex;TA;No;ALQ;742;Unf;0;130;872;GasA;Ex;Y;SBrkr;888;868;0;1756;1;0;2;1;3;1;TA;7;Typ;0;NA;Attchd;1996;Fin;2;422;TA;TA;Y;144;122;0;0;0;0;NA;NA;NA;0;7;2007;WD;Normal;204000
454;60;FV;75;9000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;Norm;Norm;1Fam;2Story;8;5;2008;2008;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;768;768;GasA;Ex;Y;SBrkr;786;804;0;1590;0;0;2;1;3;1;Gd;6;Typ;0;NA;Attchd;2008;RFn;2;676;TA;TA;Y;0;30;0;0;0;0;NA;NA;NA;0;6;2009;WD;Normal;210000
455;90;RL;63;9297;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Mitchel;Norm;Norm;Duplex;1Story;5;5;1976;1976;Gable;CompShg;Plywood;Plywood;None;0;TA;TA;CBlock;TA;TA;No;ALQ;1606;Unf;0;122;1728;GasA;TA;Y;SBrkr;1728;0;0;1728;2;0;2;0;4;2;TA;8;Typ;0;NA;Detchd;1976;Unf;2;560;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;7;2006;WD;Family;188000
456;20;RL;80;9600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;Norm;Norm;1Fam;1Story;7;6;1973;1973;Hip;CompShg;HdBoard;HdBoard;BrkFace;320;TA;TA;CBlock;TA;TA;No;ALQ;916;Unf;0;326;1242;GasA;Fa;Y;SBrkr;1242;0;0;1242;0;0;1;1;3;1;TA;6;Typ;1;TA;Attchd;1973;Unf;2;528;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;9;2007;WD;Normal;175500
457;70;RM;34;4571;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Norm;Norm;1Fam;2Story;5;5;1916;1950;Gable;CompShg;AsbShng;AsbShng;None;0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;624;624;GasA;Fa;N;SBrkr;624;720;0;1344;0;0;1;0;4;1;TA;7;Typ;0;NA;Detchd;1916;Unf;3;513;Fa;Fa;Y;0;0;96;0;0;0;NA;NA;NA;0;5;2008;COD;Abnorml;98000
458;20;RL;NA;53227;Pave;NA;IR1;Low;AllPub;CulDSac;Mod;ClearCr;Norm;Norm;1Fam;1Story;4;6;1954;1994;Flat;Tar&Grv;Plywood;Plywood;None;0;TA;TA;CBlock;Gd;TA;Gd;BLQ;1116;Unf;0;248;1364;GasA;Ex;Y;SBrkr;1663;0;0;1663;1;0;1;0;2;1;Gd;6;Min1;2;Gd;Attchd;1954;Fin;2;529;TA;TA;Y;224;137;0;0;0;0;NA;NA;NA;0;3;2008;WD;Normal;256000
459;70;RM;NA;5100;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Norm;Norm;1Fam;2Story;8;7;1925;1996;Hip;CompShg;Stucco;Wd Shng;None;0;TA;Gd;PConc;TA;TA;No;Unf;0;Unf;0;588;588;GasA;Fa;Y;SBrkr;833;833;0;1666;0;0;1;0;3;1;Gd;7;Typ;1;Gd;Detchd;1925;Unf;1;228;TA;TA;Y;192;63;0;0;0;0;NA;MnPrv;NA;0;6;2008;WD;Normal;161000
460;50;RL;NA;7015;Pave;NA;IR1;Bnk;AllPub;Corner;Gtl;BrkSide;Norm;Norm;1Fam;1.5Fin;5;4;1950;1950;Gable;CompShg;MetalSd;MetalSd;BrkCmn;161;TA;TA;CBlock;TA;TA;No;LwQ;185;Unf;0;524;709;GasA;TA;Y;SBrkr;979;224;0;1203;1;0;1;0;3;1;Gd;5;Typ;1;TA;Detchd;1950;Unf;1;352;TA;TA;Y;0;0;248;0;0;0;NA;NA;NA;0;7;2009;WD;Normal;110000
461;60;FV;75;8004;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Somerst;RRAn;Norm;1Fam;2Story;8;5;2009;2009;Gable;CompShg;VinylSd;VinylSd;Stone;110;Gd;TA;PConc;Gd;TA;No;GLQ;544;Unf;0;288;832;GasA;Ex;Y;SBrkr;832;1103;0;1935;1;0;2;1;3;1;TA;8;Typ;0;NA;BuiltIn;2009;Fin;2;552;TA;TA;Y;0;150;0;0;0;0;NA;NA;NA;0;12;2009;New;Partial;263435
462;70;RL;60;7200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SWISU;Feedr;Norm;1Fam;2Story;7;9;1936;2007;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;Gd;Gd;PConc;Gd;Gd;No;ALQ;350;BLQ;210;0;560;GasA;Ex;Y;SBrkr;575;560;0;1135;1;0;1;0;3;1;Gd;6;Typ;0;NA;Detchd;1971;RFn;2;576;TA;TA;Y;256;0;0;0;0;0;NA;MnPrv;NA;0;4;2009;WD;Normal;155000
463;20;RL;60;8281;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Norm;1Fam;1Story;5;5;1965;1965;Gable;CompShg;MetalSd;MetalSd;None;0;TA;TA;CBlock;TA;TA;No;Rec;553;BLQ;311;0;864;GasA;Gd;Y;SBrkr;864;0;0;864;0;0;1;0;3;1;TA;5;Typ;1;Po;Detchd;1965;Unf;1;360;TA;TA;Y;0;0;236;0;0;0;NA;GdWo;NA;0;12;2009;WD;Normal;62383
464;70;RL;74;11988;Pave;NA;IR1;HLS;AllPub;Inside;Mod;Crawfor;Norm;Norm;1Fam;2Story;6;7;1934;1995;Hip;CompShg;Stucco;Stucco;None;0;TA;TA;CBlock;TA;TA;No;LwQ;326;Unf;0;389;715;GasA;Fa;Y;FuseA;849;811;0;1660;0;0;1;1;3;1;TA;6;Typ;1;Gd;Detchd;1939;Unf;1;240;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;8;2008;WD;Normal;188700
465;20;RL;60;8430;Pave;NA;Reg;HLS;AllPub;Inside;Mod;CollgCr;Norm;Norm;1Fam;1Story;5;5;1978;1978;Gable;CompShg;HdBoard;HdBoard;BrkFace;136;TA;TA;CBlock;Gd;TA;No;Rec;616;Unf;0;424;1040;GasA;TA;Y;SBrkr;1040;0;0;1040;0;0;2;0;3;1;TA;5;Typ;0;NA;NA;NA;NA;0;0;NA;NA;Y;0;0;0;0;0;0;NA;NA;NA;0;8;2009;WD;Normal;124000
466;120;RM;NA;3072;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Blmngtn;Norm;Norm;TwnhsE;1Story;7;5;2004;2004;Hip;CompShg;VinylSd;VinylSd;BrkFace;18;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;1375;1375;GasA;Ex;Y;SBrkr;1414;0;0;1414;0;0;2;0;2;1;Gd;6;Typ;1;TA;Attchd;2004;Fin;2;398;TA;TA;Y;144;20;0;0;0;0;NA;NA;NA;0;5;2006;WD;Normal;178740
467;20;RL;85;10628;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;7;5;1970;1970;Flat;Tar&Grv;Plywood;Plywood;None;0;TA;Gd;CBlock;TA;Gd;Gd;GLQ;778;Unf;0;499;1277;GasA;TA;Y;SBrkr;1277;0;0;1277;1;0;1;0;2;1;TA;5;Typ;1;Po;Attchd;1970;Unf;2;526;TA;TA;Y;0;0;0;0;176;0;NA;GdWo;NA;0;4;2007;WD;Normal;167000
468;70;RL;79;9480;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Artery;Norm;1Fam;2Story;5;7;1942;1995;Gable;CompShg;MetalSd;MetalSd;Stone;224;TA;TA;CBlock;TA;TA;No;LwQ;386;Unf;0;342;728;GasA;Ex;Y;SBrkr;888;756;0;1644;0;0;1;1;3;1;Gd;7;Typ;2;Gd;Attchd;1942;Unf;1;312;TA;TA;Y;168;0;0;0;0;0;NA;NA;NA;0;6;2007;WD;Normal;146500
469;20;RL;98;11428;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;Norm;Norm;1Fam;1Story;8;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;Stone;248;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;1626;1626;GasA;Ex;Y;SBrkr;1634;0;0;1634;0;0;2;0;3;1;Gd;7;Typ;1;Gd;Attchd;2006;RFn;3;866;TA;TA;Y;0;44;0;0;0;0;NA;NA;NA;0;5;2007;WD;Normal;250000
470;60;RL;76;9291;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;SawyerW;RRNe;Norm;1Fam;2Story;6;5;1993;1993;Gable;CompShg;HdBoard;HdBoard;BrkFace;120;Gd;TA;PConc;Gd;TA;No;GLQ;426;Unf;0;406;832;GasA;Ex;Y;SBrkr;832;878;0;1710;0;0;2;1;3;1;Gd;7;Typ;0;NA;Attchd;1993;RFn;2;506;TA;TA;Y;144;70;0;0;0;0;NA;NA;NA;0;6;2008;WD;Normal;187000
471;120;RL;NA;6820;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;StoneBr;Norm;Norm;TwnhsE;1Story;8;5;1985;1985;Gable;CompShg;HdBoard;HdBoard;None;0;Gd;TA;PConc;Gd;TA;Av;GLQ;368;BLQ;1120;0;1488;GasA;TA;Y;SBrkr;1502;0;0;1502;1;0;1;1;1;1;Gd;4;Typ;0;NA;Attchd;1985;RFn;2;528;TA;TA;Y;0;54;0;0;140;0;NA;NA;NA;0;6;2010;WD;Normal;212000
472;60;RL;92;11952;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;PosA;Norm;1Fam;2Story;7;6;1977;1977;Mansard;WdShake;WdShing;Plywood;None;0;TA;TA;CBlock;Gd;TA;No;Unf;0;Unf;0;808;808;GasA;TA;Y;SBrkr;1161;808;0;1969;0;0;2;1;3;1;TA;8;Typ;1;Gd;Attchd;1977;RFn;2;534;TA;TA;Y;0;0;0;0;276;0;NA;NA;NA;0;11;2007;WD;Normal;190000
473;180;RM;35;3675;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Norm;TwnhsE;SLvl;6;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;BrkFace;80;TA;TA;PConc;Gd;TA;Gd;GLQ;459;Unf;0;88;547;GasA;Ex;Y;SBrkr;1072;0;0;1072;1;0;1;0;2;1;TA;5;Typ;0;NA;Basment;2005;RFn;2;525;TA;TA;Y;0;28;0;0;0;0;NA;NA;NA;0;6;2008;WD;Normal;148000
474;20;RL;110;14977;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;Norm;Norm;1Fam;1Story;8;5;2006;2007;Gable;CompShg;VinylSd;VinylSd;BrkFace;304;Gd;TA;PConc;Ex;TA;Gd;GLQ;1350;Unf;0;626;1976;GasA;Ex;Y;SBrkr;1976;0;0;1976;1;0;2;0;2;1;Gd;7;Typ;1;Ex;Attchd;2006;RFn;3;908;TA;TA;Y;250;63;0;0;0;0;NA;NA;NA;0;7;2007;New;Partial;440000
475;120;RL;41;5330;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;StoneBr;Norm;Norm;TwnhsE;1Story;8;5;2000;2000;Gable;CompShg;CemntBd;CmentBd;None;0;Gd;TA;PConc;Gd;TA;Av;GLQ;1196;Unf;0;298;1494;GasA;Ex;Y;SBrkr;1652;0;0;1652;1;0;2;0;2;1;Ex;6;Typ;0;NA;Attchd;2000;RFn;2;499;TA;TA;Y;96;48;0;0;0;0;NA;NA;NA;0;8;2007;WD;Normal;251000
476;20;RL;80;8480;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Sawyer;Norm;Norm;1Fam;1Story;5;6;1963;1963;Hip;CompShg;HdBoard;HdBoard;None;0;TA;TA;CBlock;TA;TA;No;GLQ;630;Unf;0;340;970;GasA;TA;Y;SBrkr;970;0;0;970;1;0;1;0;2;1;TA;5;Typ;0;NA;Detchd;1996;Unf;2;624;TA;TA;Y;0;24;0;0;192;0;NA;NA;NA;0;7;2007;WD;Normal;132500
477;20;RL;75;13125;Pave;NA;Reg;Lvl;AllPub;Inside;Mod;CollgCr;Norm;Norm;1Fam;1Story;6;5;1997;1998;Gable;CompShg;VinylSd;VinylSd;BrkFace;215;TA;TA;PConc;Gd;TA;Gd;GLQ;994;Unf;0;484;1478;GasA;Ex;Y;SBrkr;1493;0;0;1493;1;0;2;0;3;1;Gd;7;Typ;1;TA;Attchd;1997;Fin;2;508;TA;TA;Y;140;39;0;0;0;0;NA;NA;NA;0;4;2008;WD;Normal;208900
478;60;RL;105;13693;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;Norm;Norm;1Fam;2Story;9;5;2006;2006;Hip;CompShg;VinylSd;VinylSd;BrkFace;772;Ex;TA;PConc;Gd;TA;Av;Unf;0;Unf;0;2153;2153;GasA;Ex;Y;SBrkr;2069;574;0;2643;0;0;2;1;3;1;Ex;9;Typ;1;Gd;BuiltIn;2006;Fin;3;694;TA;TA;Y;414;84;0;0;0;0;NA;NA;NA;0;3;2007;WD;Normal;380000
479;20;RL;79;10637;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;1Story;8;5;2007;2008;Hip;CompShg;VinylSd;VinylSd;Stone;336;Gd;TA;PConc;Ex;TA;Gd;GLQ;1288;Unf;0;417;1705;GasA;Ex;Y;SBrkr;1718;0;0;1718;1;0;2;0;3;1;Gd;7;Typ;1;Gd;Attchd;2007;RFn;3;826;TA;TA;Y;208;44;0;0;0;0;NA;NA;NA;0;9;2009;WD;Normal;297000
480;30;RM;50;5925;Pave;NA;Reg;Bnk;AllPub;Inside;Gtl;OldTown;Norm;Norm;1Fam;1Story;4;7;1937;2000;Hip;CompShg;Stucco;Stucco;BrkCmn;435;TA;TA;BrkTil;Fa;TA;No;Rec;168;Unf;0;739;907;GasA;TA;Y;SBrkr;1131;0;0;1131;0;0;1;0;2;1;TA;7;Typ;0;NA;Detchd;1995;Unf;2;672;TA;TA;Y;0;72;0;0;0;0;NA;MnPrv;NA;0;3;2007;WD;Alloca;89471
481;20;RL;98;16033;Pave;NA;IR1;Lvl;AllPub;FR2;Gtl;NridgHt;Norm;Norm;1Fam;1Story;9;5;2004;2005;Hip;CompShg;VinylSd;VinylSd;BrkFace;378;Gd;TA;PConc;Ex;TA;Gd;GLQ;1261;Unf;0;572;1833;GasA;Ex;Y;SBrkr;1850;0;0;1850;1;0;2;0;3;1;Gd;8;Typ;1;Gd;Attchd;2004;Fin;3;772;TA;TA;Y;519;112;0;0;0;0;NA;NA;NA;0;3;2006;WD;Normal;326000
482;20;RL;72;11846;Pave;NA;IR1;HLS;AllPub;Inside;Gtl;NridgHt;Norm;Norm;1Fam;1Story;9;5;2003;2004;Hip;CompShg;VinylSd;VinylSd;BrkFace;562;Gd;TA;PConc;Ex;TA;Gd;GLQ;1567;Unf;0;225;1792;GasA;Ex;Y;SBrkr;1792;0;0;1792;1;0;2;0;2;1;Ex;6;Typ;1;Gd;Attchd;2003;Fin;3;874;TA;TA;Y;206;49;0;0;0;0;NA;NA;NA;0;8;2006;WD;Normal;374000
483;70;RM;50;2500;Pave;Pave;Reg;Lvl;AllPub;Corner;Gtl;OldTown;Norm;Norm;1Fam;2Story;7;8;1915;2005;Gable;CompShg;Stucco;Stucco;None;0;Gd;TA;PConc;TA;TA;No;ALQ;299;Unf;0;611;910;GasA;Ex;Y;SBrkr;916;910;0;1826;1;0;1;1;4;1;Ex;7;Min2;1;Gd;Attchd;1915;Unf;1;164;Fa;Fa;Y;0;0;0;0;0;0;NA;NA;NA;0;6;2009;WD;Normal;155000
484;120;RM;32;4500;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;Mitchel;Norm;Norm;Twnhs;1Story;6;5;1998;1998;Hip;CompShg;VinylSd;VinylSd;BrkFace;116;TA;TA;PConc;Ex;TA;No;GLQ;897;Unf;0;319;1216;GasA;Ex;Y;SBrkr;1216;0;0;1216;1;0;2;0;2;1;TA;5;Typ;0;NA;Attchd;1998;Unf;2;402;TA;TA;Y;0;125;0;0;0;0;NA;NA;NA;0;5;2006;WD;Normal;164000
485;20;RL;NA;7758;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Sawyer;Norm;Norm;1Fam;1Story;5;7;1962;2001;Gable;CompShg;HdBoard;Plywood;None;0;TA;Gd;CBlock;TA;TA;No;ALQ;588;Unf;0;411;999;GasA;Gd;Y;SBrkr;999;0;0;999;1;0;1;0;3;1;Gd;6;Typ;0;NA;Detchd;1963;Unf;1;264;TA;TA;Y;0;132;0;0;0;0;NA;NA;NA;0;3;2007;WD;Normal;132500
486;20;RL;80;9600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;7;1950;2007;Gable;CompShg;MetalSd;MetalSd;None;0;Gd;TA;CBlock;TA;TA;No;ALQ;607;Unf;0;506;1113;GasA;Gd;Y;SBrkr;1113;0;0;1113;0;0;1;0;3;1;Gd;5;Typ;1;Gd;Attchd;1950;Unf;1;264;TA;TA;Y;0;80;120;0;0;0;NA;NA;NA;0;7;2009;WD;Normal;147000
487;20;RL;79;10289;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;7;1965;1965;Hip;CompShg;MetalSd;MetalSd;BrkFace;168;TA;TA;CBlock;TA;TA;No;ALQ;836;Unf;0;237;1073;GasA;TA;Y;SBrkr;1073;0;0;1073;1;0;1;1;3;1;TA;6;Typ;0;NA;Attchd;1965;RFn;2;515;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;6;2007;WD;Normal;156000
488;20;RL;70;12243;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NWAmes;Norm;Norm;1Fam;1Story;5;6;1971;1971;Gable;CompShg;Plywood;Plywood;None;0;TA;TA;CBlock;Gd;TA;Av;ALQ;998;Unf;0;486;1484;GasA;Gd;Y;SBrkr;1484;0;0;1484;0;0;2;0;3;1;TA;7;Typ;1;TA;Attchd;1971;Unf;2;487;TA;TA;Y;224;0;0;0;180;0;NA;NA;NA;0;2;2007;WD;Normal;175000
489;190;RL;60;10800;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;Norm;Norm;2fmCon;1.5Fin;5;4;1900;1970;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;Fa;CBlock;TA;Fa;No;BLQ;664;Unf;0;290;954;GasA;TA;N;FuseA;1766;648;0;2414;0;0;2;0;3;2;TA;10;Mod;1;Gd;Attchd;1970;Unf;2;520;TA;Fa;N;142;0;0;0;0;0;NA;NA;NA;0;5;2006;ConLD;Normal;160000
490;180;RM;21;1526;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;Norm;Norm;Twnhs;SFoyer;4;8;1970;2002;Gable;CompShg;CemntBd;CmentBd;None;0;TA;Gd;CBlock;Gd;TA;Av;GLQ;515;Unf;0;115;630;GasA;TA;Y;SBrkr;630;0;0;630;1;0;1;0;1;1;Gd;3;Typ;0;NA;Attchd;1970;Unf;1;286;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;5;2009;WD;Normal;86000
491;160;RM;NA;2665;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;Norm;Norm;TwnhsE;2Story;5;6;1976;1976;Gable;CompShg;CemntBd;CmentBd;None;0;TA;TA;PConc;Gd;TA;Mn;Unf;0;Unf;0;264;264;GasA;TA;Y;SBrkr;616;688;0;1304;0;0;1;1;3;1;TA;4;Typ;1;Gd;BuiltIn;1976;Fin;1;336;TA;TA;Y;141;24;0;0;0;0;NA;NA;NA;0;6;2008;WD;Normal;115000
492;50;RL;79;9490;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Artery;Norm;1Fam;1.5Fin;6;7;1941;1950;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;BLQ;403;Rec;165;238;806;GasA;TA;Y;FuseA;958;620;0;1578;1;0;1;0;3;1;Fa;5;Typ;2;TA;Attchd;1941;Unf;1;240;TA;TA;Y;0;0;32;0;0;0;NA;MnPrv;NA;0;8;2006;WD;Normal;133000
493;60;RL;105;15578;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Gilbert;Norm;Norm;1Fam;2Story;6;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;728;728;GasA;Gd;Y;SBrkr;728;728;0;1456;0;0;2;1;3;1;TA;8;Typ;0;NA;Attchd;2006;RFn;2;429;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;5;2006;New;Partial;172785
494;20;RL;70;7931;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;6;1960;1960;Gable;CompShg;BrkFace;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;BLQ;374;LwQ;532;363;1269;GasA;TA;Y;FuseA;1269;0;0;1269;0;0;1;1;3;1;TA;6;Typ;1;Fa;Detchd;1964;Unf;1;308;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;6;2008;WD;Normal;155000
495;30;RM;50;5784;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Artery;Norm;1Fam;1Story;5;8;1938;1996;Gable;CompShg;MetalSd;MetalSd;None;0;TA;TA;BrkTil;Fa;TA;No;Unf;0;Unf;0;190;190;GasA;Gd;Y;FuseA;886;0;0;886;0;0;1;0;2;1;TA;4;Typ;0;NA;Attchd;1938;Unf;1;273;TA;TA;Y;144;20;80;0;0;0;NA;NA;NA;0;12;2009;WD;Normal;91300
496;30;C (all);60;7879;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;Norm;Norm;1Fam;1Story;4;5;1920;1950;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;Rec;495;Unf;0;225;720;GasA;TA;N;FuseA;720;0;0;720;0;0;1;0;2;1;TA;4;Typ;0;NA;NA;NA;NA;0;0;NA;NA;N;0;523;115;0;0;0;NA;GdWo;NA;0;11;2009;WD;Abnorml;34900
497;20;RL;NA;12692;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NoRidge;Norm;Norm;1Fam;1Story;8;5;1992;1993;Hip;CompShg;BrkFace;BrkFace;None;0;Gd;TA;PConc;Gd;TA;No;GLQ;1231;Unf;0;1969;3200;GasA;Ex;Y;SBrkr;3228;0;0;3228;1;0;3;0;4;1;Gd;10;Typ;1;Gd;Attchd;1992;RFn;2;546;TA;TA;Y;264;75;291;0;0;0;NA;NA;NA;0;5;2007;WD;Normal;430000
