Id;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;Condition1;Condition2;BldgType;HouseStyle;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;MasVnrType;MasVnrArea;ExterQual;ExterCond;Foundation;BsmtQual;BsmtCond;BsmtExposure;BsmtFinType1;BsmtFinSF1;BsmtFinType2;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;Heating;HeatingQC;CentralAir;Electrical;1stFlrSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;KitchenQual;TotRmsAbvGrd;Functional;Fireplaces;FireplaceQu;GarageType;GarageYrBlt;GarageFinish;GarageCars;GarageArea;GarageQual;GarageCond;PavedDrive;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;PoolQC;Fence;MiscFeature;MiscVal;MoSold;YrSold;SaleType;SaleCondition;SalePrice
1255;60;RL;60;6931;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Norm;1Fam;2Story;7;5;2003;2004;Gable;CompShg;VinylSd;VinylSd;Stone;92;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;746;746;GasA;Ex;Y;SBrkr;760;896;0;1656;0;0;2;1;3;1;Gd;7;Typ;1;Gd;BuiltIn;2003;Fin;2;397;TA;TA;Y;178;128;0;0;0;0;NA;NA;NA;0;7;2008;WD;Normal;165400
1256;50;RM;52;6240;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;Norm;Norm;1Fam;1.5Fin;6;6;1931;1950;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;BrkTil;TA;Fa;No;LwQ;425;Unf;0;459;884;GasA;TA;Y;FuseA;959;408;0;1367;0;0;1;0;3;1;TA;6;Typ;1;Gd;Detchd;1978;Unf;1;560;TA;TA;Y;0;0;0;0;120;0;NA;NA;NA;0;11;2007;WD;Normal;127500
1257;20;RL;91;14303;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NoRidge;Norm;Norm;1Fam;1Story;8;5;1994;1994;Hip;CompShg;HdBoard;HdBoard;BrkFace;554;Gd;TA;PConc;Gd;TA;Gd;GLQ;1314;Unf;0;672;1986;GasA;Ex;Y;SBrkr;1987;0;0;1987;1;0;2;0;2;1;Gd;7;Typ;1;TA;Attchd;1994;Fin;2;691;TA;TA;Y;262;36;0;0;0;0;NA;NA;NA;0;8;2008;WD;Normal;301500
1258;30;RL;56;4060;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;Feedr;Norm;1Fam;1Story;5;8;1922;1950;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;PConc;Fa;TA;No;Unf;0;Unf;0;864;864;GasA;Ex;Y;SBrkr;864;0;0;864;0;0;1;0;2;1;TA;4;Typ;0;NA;NA;NA;NA;0;0;NA;NA;Y;0;96;0;0;0;0;NA;NA;NA;0;7;2009;WD;Normal;99900
1259;80;RL;59;9587;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Norm;1Fam;SLvl;7;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;Stone;182;Gd;TA;PConc;Gd;TA;Gd;GLQ;655;Unf;0;201;856;GasA;Ex;Y;SBrkr;1166;0;0;1166;1;0;2;0;2;1;Gd;5;Typ;0;NA;Attchd;2005;Fin;2;400;TA;TA;Y;212;0;0;0;0;0;NA;NA;NA;0;7;2008;WD;Normal;190000
1260;20;RL;65;9750;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;NAmes;Norm;Norm;1Fam;1Story;6;8;1969;1969;Gable;CompShg;HdBoard;HdBoard;None;0;TA;TA;CBlock;Gd;TA;No;ALQ;602;LwQ;438;14;1054;GasA;Gd;Y;SBrkr;1054;0;0;1054;1;0;1;1;3;1;TA;6;Typ;0;NA;Attchd;1969;Unf;2;460;TA;TA;Y;180;0;0;0;80;0;NA;NA;NA;0;7;2008;WD;Normal;151000
1261;60;RL;NA;24682;Pave;NA;IR3;Lvl;AllPub;CulDSac;Gtl;Gilbert;RRAn;Norm;1Fam;2Story;6;5;1999;1999;Gable;CompShg;VinylSd;VinylSd;None;0;TA;TA;PConc;Gd;TA;No;Unf;0;Unf;0;841;841;GasA;Ex;Y;SBrkr;892;783;0;1675;0;0;2;1;3;1;TA;7;Typ;1;TA;BuiltIn;1999;Fin;2;502;TA;TA;Y;0;103;0;0;0;0;NA;NA;NA;0;6;2009;WD;Normal;181000
1262;20;RL;80;9600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;6;1956;1956;Hip;CompShg;MetalSd;MetalSd;None;0;TA;TA;CBlock;TA;TA;No;Rec;504;Unf;0;546;1050;GasA;Gd;Y;SBrkr;1050;0;0;1050;0;0;1;0;2;1;TA;5;Typ;0;NA;Attchd;1956;Unf;1;338;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;6;2009;WD;Normal;128900
1263;50;RL;NA;11250;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;ClearCr;Norm;Norm;1Fam;1.5Fin;4;5;1957;1989;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;Av;Unf;0;Unf;0;1104;1104;GasA;Ex;Y;FuseA;1104;684;0;1788;1;0;1;0;5;1;TA;8;Min2;2;TA;Attchd;1957;Unf;1;304;TA;TA;Y;120;0;0;0;0;0;NA;NA;NA;0;11;2009;WD;Normal;161500
1264;70;RL;60;13515;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;Norm;Norm;1Fam;2Story;6;6;1919;1950;Gambrel;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;PConc;TA;TA;No;Unf;0;Unf;0;764;764;GasA;Ex;Y;FuseA;1060;764;0;1824;0;0;1;0;3;1;TA;8;Typ;1;Gd;Detchd;1940;Unf;2;520;TA;TA;N;0;0;126;0;0;0;NA;GdPrv;NA;0;7;2007;WD;Normal;180500
1265;120;RH;34;4060;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;TwnhsE;1Story;6;5;1998;1999;Gable;CompShg;MetalSd;MetalSd;None;0;Gd;TA;PConc;Gd;TA;No;GLQ;266;Unf;0;1139;1405;GasA;Ex;Y;SBrkr;1337;0;0;1337;1;0;2;0;2;1;Gd;5;Typ;0;NA;Attchd;1998;Fin;2;511;TA;TA;Y;144;68;0;0;0;0;NA;NA;NA;0;8;2008;COD;Abnorml;181000
1266;160;FV;35;3735;Pave;NA;Reg;Lvl;AllPub;FR3;Gtl;Somerst;Norm;Norm;TwnhsE;2Story;7;5;1999;1999;Hip;CompShg;MetalSd;MetalSd;BrkFace;218;Gd;TA;PConc;Gd;TA;No;GLQ;450;Unf;0;241;691;GasA;Ex;Y;SBrkr;713;739;0;1452;1;0;2;1;3;1;Gd;6;Typ;0;NA;Detchd;1999;Unf;2;506;TA;TA;Y;0;34;0;0;0;0;NA;NA;NA;0;3;2006;WD;Normal;183900
1267;190;RM;60;10120;Pave;NA;IR1;Bnk;AllPub;Inside;Gtl;OldTown;Feedr;Norm;2fmCon;2.5Unf;7;4;1910;1950;Hip;CompShg;Wd Sdng;Wd Sdng;None;0;Fa;TA;CBlock;TA;TA;No;Unf;0;Unf;0;925;925;GasA;TA;N;FuseF;964;925;0;1889;0;0;1;1;4;2;TA;9;Typ;1;Gd;Detchd;1960;Unf;1;308;TA;TA;N;0;0;264;0;0;0;NA;MnPrv;NA;0;1;2007;WD;Normal;122000
1268;20;RL;89;13214;Pave;NA;IR1;HLS;AllPub;Inside;Gtl;Timber;Norm;Norm;1Fam;1Story;9;5;2008;2009;Hip;CompShg;Stucco;CmentBd;None;0;Ex;TA;PConc;Ex;TA;Gd;Unf;0;Unf;0;2002;2002;GasA;Ex;Y;SBrkr;2018;0;0;2018;0;0;2;0;3;1;Ex;10;Typ;1;Gd;Attchd;2009;Fin;3;746;TA;TA;Y;144;76;0;0;0;0;NA;NA;NA;0;5;2010;WD;Normal;378500
1269;50;RL;NA;14100;Pave;NA;IR1;Lvl;AllPub;Inside;Mod;Crawfor;Norm;Norm;1Fam;1.5Fin;8;9;1935;1997;Gable;CompShg;Stucco;Stucco;BrkFace;632;TA;Gd;CBlock;TA;TA;Mn;Rec;192;Unf;0;536;728;GasA;Ex;Y;SBrkr;1968;1479;0;3447;0;0;3;1;4;1;Gd;11;Typ;2;Gd;BuiltIn;1982;Unf;3;1014;TA;TA;Y;314;12;0;0;0;0;NA;GdWo;NA;0;5;2008;WD;Normal;381000
1270;50;RL;78;11344;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Feedr;Norm;1Fam;1.5Fin;5;5;1958;1958;Gable;CompShg;MetalSd;MetalSd;BrkFace;180;TA;TA;CBlock;TA;TA;No;BLQ;460;Unf;0;414;874;GasW;TA;Y;FuseA;874;650;0;1524;0;0;1;1;3;1;TA;7;Typ;0;NA;Attchd;1958;Unf;1;315;TA;TA;Y;0;0;0;0;0;0;NA;GdWo;NA;0;7;2007;WD;Normal;144000
1271;40;RL;NA;23595;Pave;NA;Reg;Low;AllPub;Inside;Sev;ClearCr;Norm;Norm;1Fam;1Story;7;6;1979;1979;Shed;WdShake;Plywood;Plywood;None;0;Gd;TA;PConc;Gd;TA;Gd;GLQ;1258;Unf;0;74;1332;GasA;TA;Y;SBrkr;1332;192;0;1524;2;0;0;1;0;1;Gd;4;Typ;1;TA;Attchd;1979;Fin;2;586;TA;TA;Y;268;0;0;0;0;0;NA;NA;NA;0;4;2010;WD;Normal;260000
1272;20;RL;NA;9156;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NWAmes;PosN;Norm;1Fam;1Story;6;7;1968;1968;Hip;CompShg;BrkFace;BrkFace;None;0;TA;TA;CBlock;TA;TA;No;Unf;0;Unf;0;1489;1489;GasA;Gd;Y;SBrkr;1489;0;0;1489;0;0;2;0;3;1;Gd;7;Typ;1;Gd;Attchd;1968;RFn;2;462;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;8;2009;WD;Normal;185750
1273;20;RL;NA;13526;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Sawyer;Norm;Norm;1Fam;1Story;5;6;1965;1965;Hip;CompShg;HdBoard;Plywood;BrkFace;114;TA;TA;CBlock;TA;TA;No;BLQ;560;LwQ;375;0;935;GasA;TA;Y;SBrkr;935;0;0;935;1;0;1;0;3;1;TA;5;Typ;0;NA;Attchd;1965;Unf;1;288;TA;TA;Y;180;0;0;0;0;0;NA;MnPrv;NA;0;11;2006;WD;Normal;137000
1274;80;RL;124;11512;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Edwards;Norm;Norm;1Fam;SLvl;6;7;1959;2006;Gable;CompShg;Plywood;Plywood;BrkFace;84;TA;TA;CBlock;TA;TA;Av;ALQ;719;Unf;0;300;1019;GasA;Gd;Y;SBrkr;1357;0;0;1357;1;0;1;0;2;1;Ex;5;Typ;1;Gd;Basment;1959;RFn;1;312;TA;TA;Y;0;0;0;0;163;0;NA;GdPrv;NA;0;5;2008;WD;Normal;177000
1275;50;RL;53;5362;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Crawfor;Norm;Norm;1Fam;1.5Fin;5;6;1910;2003;Gable;CompShg;Wd Sdng;Wd Shng;None;0;TA;TA;PConc;TA;TA;No;Unf;0;Unf;0;661;661;GasA;Ex;Y;SBrkr;661;589;0;1250;0;0;2;0;3;1;TA;8;Typ;1;Gd;Detchd;1985;Unf;2;552;TA;TA;Y;242;0;81;0;0;0;NA;NA;NA;0;11;2007;WD;Normal;139000
1276;90;RL;95;11345;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;Feedr;Norm;Duplex;2Story;5;5;1948;1950;Gable;Roll;AsbShng;AsbShng;Stone;567;TA;TA;CBlock;TA;TA;No;Rec;220;Unf;0;708;928;GasA;Gd;Y;FuseA;928;992;0;1920;0;0;2;0;4;2;TA;10;Typ;0;NA;Detchd;1948;Unf;2;400;TA;Fa;Y;0;0;0;0;0;0;NA;NA;NA;0;7;2007;WD;Normal;137000
1277;60;RL;NA;12936;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NWAmes;Norm;Norm;1Fam;2Story;6;6;1972;1972;Gable;CompShg;HdBoard;Plywood;None;0;TA;TA;CBlock;TA;Gd;No;BLQ;593;Unf;0;130;723;GasA;TA;Y;SBrkr;735;660;0;1395;0;1;1;1;3;1;TA;6;Typ;1;TA;Attchd;1972;Unf;2;497;TA;TA;Y;294;116;0;0;0;0;NA;NA;NA;0;12;2009;WD;Normal;162000
1278;80;RL;NA;17871;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NWAmes;Norm;Norm;1Fam;SLvl;6;5;1967;1976;Gable;CompShg;HdBoard;HdBoard;BrkFace;359;TA;TA;CBlock;Gd;TA;Av;ALQ;528;Unf;0;1152;1680;GasA;Fa;Y;SBrkr;1724;0;0;1724;1;0;1;1;3;1;TA;7;Typ;1;Gd;Attchd;1967;RFn;2;480;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;6;2009;WD;Normal;197900
1279;60;RL;75;9473;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;2Story;8;5;2002;2002;Gable;CompShg;VinylSd;VinylSd;NA;NA;Gd;TA;PConc;Gd;TA;No;GLQ;804;Unf;0;324;1128;GasA;Ex;Y;SBrkr;1128;903;0;2031;1;0;2;1;3;1;Gd;7;Typ;1;Gd;Attchd;2002;RFn;2;577;TA;TA;Y;0;211;0;0;0;0;NA;NA;NA;0;3;2008;WD;Normal;237000
1280;50;C (all);60;7500;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;Norm;Norm;1Fam;1.5Fin;4;4;1920;1950;Gable;CompShg;MetalSd;MetalSd;None;0;TA;Gd;CBlock;TA;TA;No;Unf;0;Unf;0;698;698;GasA;TA;Y;FuseA;698;430;0;1128;0;0;1;0;2;1;TA;6;Typ;0;NA;Detchd;1980;RFn;2;528;TA;TA;Y;30;0;164;0;0;0;NA;NA;NA;0;4;2010;COD;Abnorml;68400
1281;20;RL;67;9808;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;1Story;7;5;2002;2002;Gable;CompShg;VinylSd;VinylSd;BrkFace;110;Gd;TA;PConc;Gd;TA;No;GLQ;788;Unf;0;785;1573;GasA;Ex;Y;SBrkr;1573;0;0;1573;1;0;2;0;3;1;Gd;6;Typ;0;NA;Attchd;2002;RFn;2;544;TA;TA;Y;0;72;0;0;0;0;NA;NA;NA;0;3;2009;WD;Normal;227000
1282;20;RL;50;8049;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Timber;Norm;Norm;1Fam;1Story;7;5;1990;1990;Hip;CompShg;HdBoard;HdBoard;BrkFace;54;TA;TA;CBlock;Gd;TA;No;ALQ;1053;Unf;0;256;1309;GasA;TA;Y;SBrkr;1339;0;0;1339;1;0;2;0;2;1;TA;6;Typ;1;TA;Attchd;1990;Fin;2;484;Gd;Gd;Y;0;58;0;0;90;0;NA;NA;NA;0;7;2006;WD;Normal;180000
1283;20;RL;61;8800;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;1Story;5;7;1977;2008;Gable;CompShg;HdBoard;HdBoard;None;0;TA;TA;CBlock;Gd;TA;Mn;LwQ;532;Rec;144;364;1040;GasA;TA;Y;SBrkr;1040;0;0;1040;0;0;2;0;3;1;Gd;5;Typ;0;NA;Detchd;1977;Unf;2;484;TA;TA;Y;0;0;0;0;288;0;NA;NA;NA;0;9;2009;WD;Normal;150500
1284;90;RL;94;9400;Pave;NA;Reg;Low;AllPub;Corner;Gtl;Mitchel;Norm;Norm;Duplex;2Story;6;5;1971;1971;Mansard;CompShg;MetalSd;Wd Shng;None;0;TA;TA;CBlock;TA;TA;Av;Unf;0;Unf;0;912;912;GasA;TA;Y;SBrkr;912;912;0;1824;0;0;2;2;4;2;TA;8;Typ;0;NA;NA;NA;NA;0;0;NA;NA;Y;128;0;0;0;0;0;NA;NA;NA;0;4;2010;WD;Normal;139000
1285;50;RL;50;9638;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SWISU;Feedr;Norm;1Fam;1.5Fin;6;7;1919;1990;Gable;CompShg;Wd Sdng;Wd Shng;None;0;TA;TA;PConc;TA;TA;No;Unf;0;Unf;0;804;804;GasA;Ex;Y;SBrkr;1699;748;0;2447;0;0;2;0;4;1;Gd;10;Min2;1;Gd;Detchd;1969;Unf;1;336;TA;TA;Y;272;0;42;0;116;0;NA;NA;NA;0;3;2010;WD;Normal;169000
1286;50;RM;50;6000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;Norm;Norm;1Fam;1.5Fin;6;6;1939;1950;Gable;CompShg;MetalSd;MetalSd;None;0;TA;Fa;CBlock;TA;TA;No;Unf;0;Unf;0;780;780;GasA;Ex;Y;FuseF;825;587;0;1412;0;0;1;0;4;1;TA;6;Typ;1;Gd;Detchd;1939;Unf;1;280;TA;TA;Y;45;0;0;0;0;0;NA;NA;NA;0;5;2009;WD;Normal;132500
1287;20;RL;NA;9790;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;Feedr;Norm;1Fam;1Story;6;5;1963;1963;Hip;CompShg;HdBoard;HdBoard;BrkFace;451;TA;TA;CBlock;TA;TA;No;ALQ;569;Rec;81;678;1328;GasA;TA;Y;SBrkr;1328;0;0;1328;1;0;1;1;3;1;TA;6;Typ;2;Gd;Attchd;1963;Unf;2;528;TA;TA;Y;0;26;0;0;0;0;NA;NA;NA;0;6;2010;WD;Normal;143000
1288;20;RL;NA;36500;Pave;NA;IR1;Low;AllPub;Inside;Mod;ClearCr;Norm;Norm;1Fam;1Story;5;5;1964;1964;Gable;CompShg;Wd Sdng;Wd Sdng;BrkCmn;621;TA;Gd;CBlock;TA;TA;Av;Rec;812;Unf;0;812;1624;GasA;Fa;Y;SBrkr;1582;0;0;1582;0;1;2;0;4;1;TA;7;Typ;0;NA;Attchd;1964;Unf;2;390;TA;TA;N;168;198;0;0;0;0;NA;NA;NA;0;6;2006;WD;Normal;190000
1289;120;RL;40;5664;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;StoneBr;Norm;Norm;TwnhsE;1Story;8;5;2000;2000;Gable;CompShg;CemntBd;CmentBd;None;0;Gd;TA;PConc;Gd;TA;No;GLQ;1158;Unf;0;343;1501;GasA;Ex;Y;SBrkr;1659;0;0;1659;1;0;2;0;2;1;Ex;5;Typ;1;Ex;Attchd;2000;Fin;2;499;TA;TA;Y;212;59;0;0;0;0;NA;NA;NA;0;10;2009;WD;Normal;278000
1290;60;RL;86;11065;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;Norm;Norm;1Fam;2Story;8;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;Stone;788;Gd;TA;PConc;Gd;TA;Mn;Unf;0;Unf;0;1085;1085;GasA;Ex;Y;SBrkr;1120;850;0;1970;0;0;2;1;3;1;Ex;8;Typ;1;Gd;BuiltIn;2006;Fin;3;753;TA;TA;Y;177;74;0;0;0;0;NA;NA;NA;0;10;2006;New;Partial;281000
1291;80;RL;NA;14112;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;Norm;Norm;1Fam;SLvl;5;7;1964;1964;Hip;CompShg;Wd Sdng;HdBoard;BrkFace;86;TA;TA;PConc;TA;TA;Av;GLQ;1014;Unf;0;138;1152;GasA;TA;Y;SBrkr;1152;0;0;1152;1;0;1;0;3;1;TA;6;Typ;1;Gd;Attchd;1964;RFn;2;484;TA;TA;Y;227;0;0;0;0;0;NA;NA;NA;0;4;2010;WD;Normal;180500
1292;160;RM;21;1680;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrDale;Norm;Norm;Twnhs;2Story;5;7;1972;1972;Gable;CompShg;CemntBd;CmentBd;BrkFace;268;TA;TA;CBlock;TA;TA;No;ALQ;231;Unf;0;399;630;GasA;TA;Y;SBrkr;630;672;0;1302;0;0;2;1;3;1;TA;6;Typ;0;NA;Detchd;1972;Unf;1;264;TA;TA;Y;185;0;0;0;0;0;NA;NA;NA;0;2;2009;WD;Normal;119500
1293;70;RM;60;6600;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;Norm;Norm;1Fam;2Story;5;4;1892;1965;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;Stone;TA;TA;No;Unf;0;Unf;0;994;994;GasA;TA;N;SBrkr;1378;994;0;2372;0;0;2;0;4;2;TA;11;Min2;0;NA;Attchd;1985;RFn;1;432;TA;TA;Y;0;287;0;0;0;0;NA;NA;NA;0;12;2009;WD;Normal;107500
1294;60;RL;78;10140;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;Norm;Norm;1Fam;2Story;7;5;1976;1976;Gable;CompShg;HdBoard;HdBoard;None;0;TA;TA;PConc;Gd;TA;No;GLQ;194;Unf;0;638;832;GasA;TA;Y;SBrkr;832;832;0;1664;0;0;2;1;4;1;TA;8;Typ;1;TA;Attchd;1976;RFn;2;528;TA;TA;Y;0;28;0;0;259;0;NA;GdWo;NA;0;3;2006;WD;Normal;162900
1295;20;RL;60;8172;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Norm;1Fam;1Story;5;7;1955;1990;Hip;CompShg;WdShing;Plywood;None;0;TA;TA;CBlock;TA;TA;No;Rec;167;Unf;0;697;864;GasA;TA;Y;SBrkr;864;0;0;864;1;0;1;0;2;1;TA;5;Typ;0;NA;Detchd;1957;Unf;2;572;TA;TA;N;0;0;0;0;0;0;NA;NA;NA;0;4;2006;WD;Normal;115000
1296;20;RL;70;8400;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Feedr;Norm;1Fam;1Story;5;5;1968;1968;Hip;CompShg;HdBoard;HdBoard;BrkFace;168;TA;TA;CBlock;TA;TA;Av;BLQ;1016;Unf;0;36;1052;GasA;Gd;Y;SBrkr;1052;0;0;1052;1;0;1;1;3;1;TA;5;Typ;0;NA;Attchd;1968;RFn;1;288;TA;TA;Y;356;0;0;0;0;0;NA;GdWo;NA;0;11;2006;WD;Normal;138500
1297;20;RL;80;8700;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;6;1963;1963;Hip;CompShg;MetalSd;MetalSd;BrkFace;148;TA;Gd;CBlock;TA;TA;Mn;ALQ;776;Unf;0;344;1120;GasA;Gd;Y;SBrkr;1128;0;0;1128;1;0;2;0;3;1;TA;6;Typ;0;NA;Attchd;1963;RFn;2;525;TA;TA;Y;192;20;123;0;0;0;NA;MnPrv;NA;0;12;2008;WD;Normal;155000
1298;180;RM;35;3675;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Norm;TwnhsE;SFoyer;6;5;2005;2006;Gable;CompShg;VinylSd;VinylSd;BrkFace;82;TA;TA;PConc;Gd;TA;Gd;GLQ;547;Unf;0;0;547;GasA;Gd;Y;SBrkr;1072;0;0;1072;1;0;2;0;2;1;TA;5;Typ;0;NA;Basment;2005;Fin;2;525;TA;TA;Y;0;44;0;0;0;0;NA;NA;NA;0;6;2006;New;Partial;140000
1299;60;RL;313;63887;Pave;NA;IR3;Bnk;AllPub;Corner;Gtl;Edwards;Feedr;Norm;1Fam;2Story;10;5;2008;2008;Hip;ClyTile;Stucco;Stucco;Stone;796;Ex;TA;PConc;Ex;TA;Gd;GLQ;5644;Unf;0;466;6110;GasA;Ex;Y;SBrkr;4692;950;0;5642;2;0;2;1;3;1;Ex;12;Typ;3;Gd;Attchd;2008;Fin;2;1418;TA;TA;Y;214;292;0;0;0;480;Gd;NA;NA;0;1;2008;New;Partial;160000
1300;20;RL;75;7500;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;7;1959;1994;Hip;CompShg;BrkFace;BrkFace;None;0;TA;TA;CBlock;TA;TA;No;LwQ;340;Rec;906;0;1246;GasA;Ex;Y;SBrkr;1246;0;0;1246;1;0;1;1;3;1;Gd;6;Typ;0;NA;Attchd;1959;RFn;1;305;TA;TA;Y;218;0;0;0;0;0;NA;GdPrv;NA;0;5;2010;WD;Normal;154000
1301;60;RL;NA;10762;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Gilbert;Norm;Norm;1Fam;2Story;7;5;1999;1999;Gable;CompShg;VinylSd;VinylSd;None;344;Gd;TA;PConc;Gd;TA;No;GLQ;694;Unf;0;284;978;GasA;Ex;Y;SBrkr;1005;978;0;1983;0;0;2;1;3;1;Gd;9;Typ;1;TA;Attchd;1999;Fin;2;490;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;5;2009;WD;Normal;225000
1302;70;RL;NA;7500;Pave;NA;IR1;Bnk;AllPub;Inside;Gtl;Crawfor;Norm;Norm;1Fam;2Story;6;7;1942;1950;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;BLQ;547;Unf;0;224;771;GasA;Fa;Y;SBrkr;753;741;0;1494;0;0;1;0;3;1;Gd;7;Typ;2;Gd;Attchd;1942;Unf;1;213;TA;TA;P;0;0;0;0;224;0;NA;NA;NA;0;11;2009;WD;Normal;177500
1303;60;RL;92;10120;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NoRidge;Norm;Norm;1Fam;2Story;8;5;1994;1994;Hip;CompShg;VinylSd;VinylSd;BrkFace;391;Gd;TA;PConc;Gd;TA;No;GLQ;740;Unf;0;425;1165;GasA;Ex;Y;SBrkr;1203;1323;0;2526;1;0;2;1;4;1;Gd;8;Typ;1;TA;Attchd;1994;RFn;3;844;TA;TA;Y;309;78;0;0;0;0;NA;NA;NA;0;12;2006;WD;Normal;290000
1304;20;RL;73;8688;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;Norm;Norm;1Fam;1Story;7;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;BrkFace;228;Gd;TA;PConc;Gd;TA;Av;Unf;0;Unf;0;1616;1616;GasA;Ex;Y;SBrkr;1616;0;0;1616;0;0;2;0;3;1;Gd;7;Typ;0;NA;Attchd;2005;RFn;3;834;TA;TA;Y;208;59;0;0;0;0;NA;NA;NA;0;4;2006;WD;Normal;232000
1305;160;RM;32;3363;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Norm;TwnhsE;2Story;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;Stone;117;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;976;976;GasA;Ex;Y;SBrkr;976;732;0;1708;0;0;2;0;3;1;Gd;7;Maj1;0;NA;Detchd;2004;Unf;2;380;TA;TA;Y;0;40;0;0;0;0;NA;NA;NA;0;4;2006;WD;Normal;130000
